		∆DMS	PCC	AUROC
161	240	0.16084510375345457	0.7658947135217783	1.0
241	320	0.17924377371934935	0.29049547215090593	0.8803828
321	400	0.11169600603786248	0.7281918983081088	0.9917355
401	480	0.1275301432217601	0.4833559153630414	0.99715906
481	560	0.2578215117283944	0.09471081340958204	0.962963
561	640	0.11858223748577795	0.6723172773009362	0.92460316
641	720	0.13829461787178798	0.15864786088630944	0.91346157
721	800	0.21141543650305397	0.13368264635425187	0.8691358
801	880	0.12198269374643642	0.01963108418588773	0.9520202
961	1040	0.15722278770470116	0.1301798761191906	0.91190475
1041	1120	0.11895589417375473	0.6078783299212563	0.8847826
1121	1200	0.14692963402112927	0.5968660329315335	0.90555555
1201	1280	0.12156341614977764	0.6421479826222606	0.96153843
1281	1360	0.23974227396810668	0.29883259761239467	0.9124579
1441	1520	0.30792085540623415	0.022800852868772085	0.90833336
1521	1600	0.1972870634380434	0.5211961375498568	0.8531746
1601	1680	0.22077782029276982	0.23929788283386516	0.8666667
1681	1760	0.19447072453325903	0.3099478405804106	0.9843137
1761	1840	0.2915407047871321	0.23851737379645543	0.85
1841	1920	0.06729372866616613	0.8538095577489339	0.98571426
2001	2080	0.22052202041443889	0.07282189656764264	0.9051383
2081	2160	0.15655796935828817	-0.05038606787447074	0.85595566
2161	2240	0.2031722984433439	0.4065940911712294	0.8769841
2241	2320	0.21041833620689343	0.14545848244448215	0.88117284
2321	2400	0.17906910167074017	0.40175139405708443	0.9736842
2401	2480	0.31822973966388696	0.0725965904661372	0.9175439
2481	2560	0.17442931070160778	0.5165071074676139	1.0
2561	2640	0.15775937297703005	0.510575909923535	0.7966667
2641	2720	0.23319453424980366	0.16097259599989588	0.9605263
2721	2800	0.21886659678974435	0.019014487824203903	0.86647725
2801	2880	0.19347829849743223	0.2736137512690039	0.8736842
2881	2960	0.24290909918982193	-0.19346646112797813	0.8636364
2961	3040	0.2575120606311644	0.1437242722166181	0.7751196
3041	3120	0.23796653716284227	0.2403730906715946	0.95657897
3121	3200	0.17974352062899188	0.504798519248501	0.927381
3201	3280	0.1954413544267641	0.3828066426158455	0.9876543
3281	3360	0.31774332319314225	0.05230362860108925	0.7819549
3361	3440	0.22531095204173754	0.18531805768463552	0.75384617
3441	3520	0.15659002332734392	0.07003686635914107	0.9227053
3521	3600	0.20250940361526842	0.41679360767692997	0.95454544
3601	3680	0.2621553646376885	0.08169460316740024	0.6125356
3681	3760	0.24103302821822895	0.016847299487773863	0.93356645
3841	3920	0.21247489350843268	-0.033235496615029954	0.88293654
3921	4000	0.32004145429756364	0.07660681190959477	0.91534394
4001	4080	0.21158312482624114	0.27824353961623494	0.75357145
4161	4240	0.2099993639096941	0.2787602325546899	0.92391306
4241	4320	0.2694683929632393	0.06926957360687877	0.8102564
4321	4400	0.27096145700916063	0.09419635221980863	0.875
4401	4480	0.23183462494873638	0.2816597461021573	0.8241966
4481	4560	0.20946613779874823	0.42675807640144603	0.9111111
4561	4640	0.24577246423567461	0.19671798609227542	0.94239634
4641	4720	0.17803834772042845	0.4446956928872382	0.88580245
4721	4800	0.16481127605859075	0.24799848611380215	0.89285713
4801	4880	0.1925002638907949	0.3425043713745183	0.9348371
4881	4960	0.22154074830353826	0.33762793601940627	0.947619
4961	5040	0.23963718819582522	0.0719930040201375	0.7815126
5041	5120	0.19733906233353313	0.26555101385519314	0.93333334
5121	5200	0.22729557040812404	0.3390847941814547	0.92156863
5201	5280	0.21909587372958886	0.08493803562702881	0.81714284
5281	5360	0.18079036242616697	0.3405610289483261	0.97863245
5361	5440	0.18806387829266905	0.18339759593974347	1.0
5441	5520	0.18441350005023538	0.5196173218790976	0.82807016
5521	5600	0.16909796028913004	0.23209499288782798	0.93990386
5601	5680	0.19928969409331865	0.2006523030503134	0.980057
5681	5760	0.19730958019942305	0.34853120304994545	0.90025574
5761	5840	0.2472991791472045	0.08446611029057735	0.99
5841	5920	0.20115068393217894	0.31940302138017285	0.82274246
5921	6000	0.15834836577773012	0.3381772835932156	0.95
6081	6160	0.19106462697767856	0.4158511661452519	0.88087773
6161	6240	0.19284829195202263	0.19150955330825759	0.9197861
6241	6320	0.1864414833904503	0.43033171848665963	0.92
6321	6400	0.2255013333748796	0.176901894490314	0.9539642
6401	6480	0.2841464425521244	0.39722362099047853	0.9505882
6481	6560	0.2434110519279675	0.3774428057876585	0.78444445
6561	6640	0.254236534856215	0.20452912548108396	0.97096777
6641	6720	0.2096558442751773	0.3513103532331645	0.9632353
6721	6800	0.251702957457936	0.14393619890337772	0.91071427
6801	6880	0.23357386058866791	0.21984800670299118	0.8375286
6961	7040	0.15820008651254966	0.5670791462764355	0.88839287
7041	7120	0.22349928402256253	0.4035185671682041	0.9208075
7201	7280	0.23975300487111206	-0.06221352138661876	0.9166667
7281	7360	0.2915001318364847	-0.08004501783708402	0.8080808
7361	7440	0.21234651784724662	0.33110546269641994	0.875
7441	7520	0.21965738940885984	-0.060717828447194755	0.8491228
7521	7600	0.24730029437606615	-0.16806626989881493	0.85507244
7601	7680	0.26295956615044946	0.02593018131189689	0.85294116
7681	7760	0.2096898565758598	0.0806339646072195	0.90716183
7761	7840	0.20278396374880386	0.2343292734273174	0.87212276
7841	7920	0.22842302943257967	0.34623201815940885	0.82581455
7921	8000	0.23571404110106262	0.4288459954625909	0.97619045
8001	8080	0.17247637389049392	0.31016824863383713	0.99603176
8081	8160	0.23232663789758784	0.2823196543725246	0.8255578
8161	8240	0.188559003366277	-0.03951273673763156	0.8769841
8241	8320	0.23161967272181386	0.10110024888098054	0.8762626
8321	8400	0.31770628181126603	-0.016514874076147157	0.86013985
8401	8480	0.2134094879259057	0.04704440578441654	0.9107505
8481	8560	0.28426792549198193	-0.30725537345630477	0.8111111
8561	8640	0.3025088990810014	-0.3831326620722273	0.79710144
8641	8720	0.16479628505812402	0.5016380414712633	0.95454544
8721	8800	0.2217717396374274	0.17220638096386343	0.9477124
8801	8880	0.19928726914293937	0.23175520965272006	0.89375
8881	8960	0.2663967792279326	-0.06701624734975808	0.9512987
8961	9040	0.26319010280679656	0.21833806379324094	0.67536235
9041	9120	0.11241008555158834	0.6542060901362806	0.88611114
9201	9280	0.23863595916088015	-0.3632491083164374	0.8333333
9281	9360	0.2166216870707201	0.05962656171993195	0.7951389
9361	9440	0.21745324786572723	0.4713642635739869	0.92690057
