		∆DMS	∆DMS-paired	∆DMS-unpaired	PCC	AUROC
161	240	0.11373466358472152	0.08971891443993786	0.17049916156330108	0.7658947135217783	1.0
241	320	0.126744487882419	0.10823085492679255	0.1461838024858268	0.29049547215090593	0.8803828
321	400	0.07898100330082611	0.057317951162270404	0.12230710757793752	0.7281918983081088	0.9917355
401	480	0.09017742907779819	0.05796872478820798	0.1344643974759847	0.4833559153630414	0.99715906
481	560	0.1823073392789147	0.171879002308779	0.19273567624905036	0.09471081340958204	0.962963
561	640	0.0838503042544672	0.058932476209213366	0.1274565033336614	0.6723172773009362	0.92460316
641	720	0.09778906209874356	0.032748335396834964	0.22286738267933703	0.15864786088630944	0.91346157
721	800	0.1494932887988234	0.07106763850089672	0.1930630945198938	0.13368264635425187	0.8691358
801	880	0.08625478993550703	0.034956883088785515	0.12822580462827923	0.01963108418588773	0.9520202
961	1040	0.11117329934304714	0.07701318678820994	0.1437067398714635	0.1301798761191906	0.91190475
1041	1120	0.08411451943237128	0.04246048934684628	0.13201665403072504	0.6078783299212563	0.8847826
1121	1200	0.10389494057359816	0.058003198134822104	0.14519750876849663	0.5968660329315335	0.90555555
1201	1280	0.08595831590371003	0.06261357385838841	0.14113679710174298	0.6421479826222606	0.96153843
1281	1360	0.16952338765993136	0.09607873708289304	0.19944528233946549	0.29883259761239467	0.9124579
1441	1520	0.21773292492651053	0.17066803779135747	0.26185625661571654	0.022800852868772085	0.90833336
1521	1600	0.13950302039742105	0.13309528565165815	0.14774153649911623	0.5211961375498568	0.8531746
1601	1680	0.15611349386460252	0.08191715285515211	0.1920149491917559	0.23929788283386516	0.8666667
1681	1760	0.13751156805972856	0.056358424943629803	0.2294851302579738	0.3099478405804106	0.9843137
1761	1840	0.20615040934688647	0.1813908169561189	0.2236884539570135	0.23851737379645543	0.85
1841	1920	0.04758385187117364	0.037614542430595276	0.06538619015792071	0.8538095577489339	0.98571426
2001	2080	0.155932616036008	0.13223314633462765	0.19938164382187198	0.07282189656764264	0.9051383
2081	2160	0.11070320178204127	0.03572965904510452	0.17139606971194243	-0.05038606787447074	0.85595566
2161	2240	0.1436645099785455	0.11711826559478256	0.1943437038020929	0.4065940911712294	0.8769841
