first,last,agreement
26,109,0.7142857142857143
172,236,0.6153846153846154
217,277,0.7377049180327869
240,298,0.576271186440678
274,338,0.5538461538461539
5654,5708,0.5272727272727272
6387,6453,0.5522388059701493
9569,9623,0.6
10465,10526,0.5806451612903226
12154,12208,0.5454545454545454
12193,12254,0.6935483870967742
12269,12323,0.5454545454545454
12772,12827,0.48214285714285715
12886,12944,0.5932203389830508
12949,13010,0.7096774193548387
13348,13403,0.5892857142857143
13371,13436,0.5606060606060606
13439,13507,0.37681159420289856
13470,13529,0.35
13656,13711,0.5357142857142857
13743,13798,0.8035714285714286
14631,14707,0.5974025974025974
14679,14737,0.5423728813559322
14731,14797,0.7910447761194029
14862,14920,0.3220338983050847
14973,15028,0.5178571428571429
15051,15118,0.6029411764705882
15105,15160,0.7142857142857143
15222,15277,0.42857142857142855
15331,15387,0.543859649122807
16411,16465,0.6181818181818182
16815,16870,0.7678571428571429
16998,17059,0.6935483870967742
17121,17176,0.5178571428571429
17511,17566,0.8035714285714286
17727,17785,0.4576271186440678
17838,17896,0.711864406779661
18177,18235,0.6610169491525424
19605,19659,0.4909090909090909
20094,20150,0.8245614035087719
25374,25429,0.7142857142857143
25528,25582,0.6909090909090909
26172,26247,0.5394736842105263
26213,26281,0.6376811594202898
26250,26320,0.5774647887323944
26295,26350,0.48214285714285715
26313,26414,0.5294117647058824
26406,26461,0.6428571428571429
26446,26501,0.8035714285714286
26478,26534,0.8596491228070176
26765,26820,0.6785714285714286
27014,27082,0.6811594202898551
27074,27131,0.5517241379310345
27146,27201,0.48214285714285715
27164,27232,0.7681159420289855
27367,27425,0.4576271186440678
27498,27553,0.5178571428571429
27752,27813,0.5967741935483871
27776,27838,0.5714285714285714
28251,28313,0.5238095238095238
28387,28442,0.5892857142857143
28494,28556,0.6825396825396826
28654,28708,0.6363636363636364
28725,28814,0.6555555555555556
28852,28906,0.5636363636363636
28963,29017,0.7272727272727273
28990,29054,0.8461538461538461
29155,29216,0.6612903225806451
29209,29272,0.8125
29266,29325,0.75
29339,29414,0.5921052631578947
29524,29586,0.5714285714285714
29579,29650,0.4444444444444444
29633,29707,0.6933333333333334
29670,29727,0.6896551724137931
29690,29744,0.6727272727272727
29714,29777,0.78125
29767,29877,0.46846846846846846
29852,29882,0.7419354838709677
