first,last,identity
26,109,0.6785714285714286
172,236,0.6153846153846154
217,277,0.7213114754098361
240,298,0.423728813559322
274,338,0.5538461538461539
5654,5708,0.38181818181818183
6387,6453,0.40298507462686567
9569,9623,0.45454545454545453
10465,10526,0.4838709677419355
12154,12208,0.4
12193,12254,0.6935483870967742
12269,12323,0.4727272727272727
12772,12827,0.30357142857142855
12886,12944,0.559322033898305
12949,13010,0.45161290322580644
13348,13403,0.5535714285714286
13371,13436,0.5
13439,13507,0.18840579710144928
13470,13529,0.18333333333333332
13656,13711,0.5357142857142857
13743,13798,0.8035714285714286
14631,14707,0.36363636363636365
14679,14737,0.2711864406779661
14731,14797,0.7014925373134329
14862,14920,0.3220338983050847
14973,15028,0.375
15051,15118,0.47058823529411764
15105,15160,0.4642857142857143
15222,15277,0.17857142857142858
15331,15387,0.19298245614035087
16411,16465,0.2909090909090909
16815,16870,0.6785714285714286
16998,17059,0.5483870967741935
17121,17176,0.48214285714285715
17511,17566,0.8035714285714286
17727,17785,0.4067796610169492
17838,17896,0.711864406779661
18177,18235,0.6610169491525424
19605,19659,0.12727272727272726
20094,20150,0.7894736842105263
25374,25429,0.7142857142857143
25528,25582,0.4909090909090909
26172,26247,0.4868421052631579
26213,26281,0.5362318840579711
26250,26320,0.5774647887323944
26295,26350,0.48214285714285715
26313,26414,0.5294117647058824
26406,26461,0.6428571428571429
26446,26501,0.7678571428571429
26478,26534,0.8596491228070176
26765,26820,0.625
27014,27082,0.6811594202898551
27074,27131,0.22413793103448276
27146,27201,0.23214285714285715
27164,27232,0.6666666666666666
27367,27425,0.3050847457627119
27498,27553,0.48214285714285715
27752,27813,0.5
27776,27838,0.5555555555555556
28251,28313,0.4603174603174603
28387,28442,0.39285714285714285
28494,28556,0.6666666666666666
28654,28708,0.45454545454545453
28725,28814,0.36666666666666664
28852,28906,0.509090909090909
28963,29017,0.7272727272727273
28990,29054,0.8461538461538461
29155,29216,0.6290322580645161
29209,29272,0.609375
29266,29325,0.5333333333333333
29339,29414,0.5263157894736842
29524,29586,0.3492063492063492
29579,29650,0.2777777777777778
29633,29707,0.5733333333333334
29670,29727,0.5689655172413793
29690,29744,0.4909090909090909
29714,29777,0.78125
29767,29877,0.44144144144144143
29852,29882,0.7419354838709677
