first,last,unpaired-recovery
26,109,0.6730769230769231
172,236,0.4444444444444445
217,277,0.5555555555555556
240,298,0.36000000000000004
274,338,0.4727272727272727
5654,5708,0.35135135135135137
6387,6453,0.4
9569,9623,0.5641025641025641
10465,10526,0.46875
12154,12208,0.4242424242424242
12193,12254,0.5833333333333334
12269,12323,0.48717948717948717
12772,12827,0.4375
12886,12944,0.3142857142857143
12949,13010,0.5
13348,13403,0.43333333333333335
13371,13436,0.45652173913043476
13439,13507,0.3170731707317073
13470,13529,0.275
13656,13711,0.4565217391304348
13743,13798,0.6071428571428571
14631,14707,0.5555555555555556
14679,14737,0.2903225806451613
14731,14797,0.6799999999999999
14862,14920,0.23404255319148934
14973,15028,0.4375
15051,15118,0.42105263157894735
15105,15160,0.5333333333333333
15222,15277,0.14285714285714285
15331,15387,0.28
16411,16465,0.4814814814814815
16815,16870,0.5
16998,17059,0.6071428571428571
17121,17176,0.35294117647058826
17511,17566,0.5769230769230769
17727,17785,0.4313725490196078
17838,17896,0.5853658536585366
18177,18235,0.5348837209302325
19605,19659,0.21739130434782608
20094,20150,0.7419354838709679
25374,25429,0.5555555555555556
25528,25582,0.5652173913043478
26172,26247,0.5227272727272727
26213,26281,0.48837209302325585
26250,26320,0.411764705882353
26295,26350,0.391304347826087
26313,26414,0.3974358974358974
26406,26461,0.5454545454545454
26446,26501,0.7000000000000001
26478,26534,0.7419354838709679
26765,26820,0.5
27014,27082,0.6129032258064516
27074,27131,0.32142857142857145
27146,27201,0.38235294117647056
27164,27232,0.6551724137931035
27367,27425,0.4444444444444445
27498,27553,0.4444444444444445
27752,27813,0.5625
27776,27838,0.5106382978723404
28251,28313,0.48936170212765956
28387,28442,0.5
28494,28556,0.641025641025641
28654,28708,0.5454545454545455
28725,28814,0.7000000000000001
28852,28906,0.3333333333333333
28963,29017,0.6808510638297872
28990,29054,0.7674418604651163
29155,29216,0.5
29209,29272,0.7307692307692307
29266,29325,0.7857142857142857
29339,29414,0.6
29524,29586,0.4634146341463415
29579,29650,0.34
29633,29707,0.4857142857142857
29670,29727,0.5333333333333333
29690,29744,0.5714285714285714
29714,29777,0.65625
29767,29877,0.49315068493150693
29852,29882,0.8260869565217391
