first,last,identity
1,120,0.8
41,158,0.711864406779661
81,198,0.6271186440677966
121,238,0.576271186440678
159,278,0.9083333333333333
319,438,0.5
399,518,0.775
639,758,0.8
719,838,0.7583333333333333
839,958,0.8
919,1038,0.9416666666666667
1119,1238,0.475
1159,1278,0.675
1199,1318,0.5583333333333333
1239,1358,0.4166666666666667
1559,1678,0.5666666666666667
1599,1718,0.7166666666666667
1639,1758,0.6833333333333333
1719,1838,0.6333333333333333
2119,2238,0.75
2159,2278,0.75
2319,2438,0.6583333333333333
2479,2586,0.5092592592592593
2519,2626,0.7222222222222222
2707,2823,0.8461538461538461
2744,2863,0.65
2904,3023,0.6583333333333333
2944,3063,0.6666666666666666
3095,3211,0.7435897435897436
3372,3491,0.6666666666666666
3492,3608,0.8376068376068376
3809,3898,0.8222222222222222
4055,4174,0.425
4095,4214,0.35
4135,4254,0.575
4175,4294,0.8166666666666667
4215,4334,0.6
4295,4414,0.8
4415,4534,0.24166666666666667
4535,4654,0.3416666666666667
4575,4694,0.5583333333333333
4815,4931,0.6666666666666666
4932,5051,0.7333333333333333
4972,5091,0.825
5012,5131,0.8
5052,5171,0.6333333333333333
5092,5211,0.7416666666666667
5212,5331,0.65
5252,5371,0.5583333333333333
5292,5411,0.525
5332,5451,0.8916666666666667
5452,5571,0.85
5652,5771,0.6916666666666667
5692,5811,0.55
5732,5851,0.9
6012,6131,0.6333333333333333
6092,6211,0.7583333333333333
6132,6251,0.775
6212,6331,0.8583333333333333
6252,6371,0.75
6412,6531,0.775
6452,6571,0.75
6612,6731,0.7333333333333333
6972,7091,0.8583333333333333
7012,7131,0.7833333333333333
7052,7171,0.65
7132,7251,0.625
7172,7291,0.475
7452,7571,0.6583333333333333
7772,7891,0.5666666666666667
8092,8211,0.6083333333333333
8132,8251,0.8
8292,8411,0.5166666666666667
8691,8810,0.7
8811,8930,0.775
8851,8970,0.7
9211,9330,0.5583333333333333
9251,9370,0.475
9371,9490,0.5
9411,9530,0.8333333333333334
9611,9730,0.4666666666666667
10131,10250,0.625
10371,10490,0.65
10411,10530,0.6916666666666667
10451,10570,0.5333333333333333
10851,10970,0.8333333333333334
10931,11050,0.8
10971,11090,0.4583333333333333
11011,11130,0.525
11051,11170,0.5666666666666667
11091,11210,0.39166666666666666
11211,11330,0.7916666666666666
11651,11770,0.7166666666666667
11691,11810,0.6
11731,11850,0.675
11771,11890,0.725
12171,12290,0.425
12371,12490,0.925
12571,12690,0.75
12611,12730,0.75
12691,12810,0.625
12891,13010,0.7
13330,13449,0.25833333333333336
13370,13488,0.6470588235294118
13410,13528,0.5630252100840336
13647,13766,0.5916666666666667
13687,13806,0.6916666666666667
13807,13926,0.9083333333333333
13887,14006,0.7333333333333333
13927,14046,0.8083333333333333
14007,14126,0.5666666666666667
14047,14166,0.7083333333333334
14087,14206,0.55
14127,14246,0.45
14207,14326,0.7333333333333333
14367,14486,0.7166666666666667
14447,14566,0.525
14527,14646,0.85
14687,14806,0.7166666666666667
14727,14846,0.7916666666666666
14767,14886,0.625
14847,14966,0.43333333333333335
14887,15006,0.625
14967,15086,0.6083333333333333
15007,15126,0.5083333333333333
15607,15725,0.5126050420168067
15646,15765,0.6
16446,16565,0.7333333333333333
16486,16605,0.6583333333333333
16766,16885,0.7083333333333334
17086,17205,0.6666666666666666
17126,17245,0.95
17166,17285,0.45
17206,17325,0.5333333333333333
17326,17445,0.6583333333333333
17366,17485,0.8416666666666667
17446,17565,0.6583333333333333
17526,17645,0.7166666666666667
17766,17885,0.6833333333333333
17846,17965,0.65
17966,18085,0.325
18646,18765,0.6833333333333333
18686,18805,0.6166666666666667
18806,18925,0.6166666666666667
18846,18965,0.625
18926,19045,0.8333333333333334
19046,19165,0.675
19166,19285,0.5833333333333334
19206,19325,0.5666666666666667
19366,19485,0.8666666666666667
19406,19525,0.6083333333333333
19446,19565,0.625
19646,19765,0.7333333333333333
19766,19885,0.7166666666666667
19926,20045,0.5666666666666667
19966,20085,0.7333333333333333
20206,20325,0.39166666666666666
20286,20405,0.8166666666666667
20446,20565,0.7833333333333333
20486,20605,0.3
20806,20925,0.6333333333333333
20846,20965,0.8
21006,21125,0.8916666666666667
21126,21245,0.775
21326,21445,0.6583333333333333
21366,21485,0.6916666666666667
21406,21525,0.575
21446,21565,0.48333333333333334
22102,22219,0.7372881355932204
22140,22259,0.6333333333333333
22698,22817,0.775
22738,22857,0.48333333333333334
22778,22897,0.8583333333333333
23098,23217,0.7
23298,23417,0.6583333333333333
23338,23457,0.575
23498,23617,0.5833333333333334
23538,23657,0.625
23578,23697,0.575
23698,23817,0.775
23978,24097,0.95
24257,24376,0.7333333333333333
25017,25136,0.7
25137,25256,0.7083333333333334
25177,25296,0.7666666666666667
25217,25336,0.9833333333333333
25337,25455,0.6974789915966386
25456,25575,0.8666666666666667
25496,25615,0.7416666666666667
25536,25655,0.5916666666666667
25576,25695,0.44166666666666665
25656,25775,0.6416666666666667
25816,25935,0.8833333333333333
25856,25975,0.8916666666666667
25896,26015,0.7166666666666667
25936,26055,0.7833333333333333
26016,26135,0.8333333333333334
26096,26215,0.7833333333333333
26136,26255,0.8583333333333333
26176,26295,0.4083333333333333
26216,26335,0.725
26256,26375,0.375
26376,26491,0.6120689655172413
26416,26528,0.46017699115044247
26453,26568,0.8103448275862069
26492,26608,0.6495726495726496
26529,26648,0.6916666666666667
26569,26688,0.775
26609,26728,0.725
26729,26848,0.775
27249,27368,0.8666666666666667
27402,27521,0.9
27442,27561,0.675
27522,27641,0.825
28759,28878,0.7333333333333333
28839,28958,0.7
28959,29078,0.625
28999,29118,0.875
29039,29158,0.7333333333333333
29079,29198,0.5916666666666667
29119,29238,0.6416666666666667
29239,29358,0.7083333333333334
29279,29398,0.8166666666666667
29319,29438,0.8
29399,29512,0.7017543859649122
29513,29630,0.864406779661017
29551,29670,0.8166666666666667
29591,29710,0.5166666666666667
