first,last,agreement
1,120,0.8416666666666667
41,158,0.7203389830508474
81,198,0.6949152542372882
121,238,0.6864406779661016
159,278,0.9166666666666666
319,438,0.725
399,518,0.8166666666666667
639,758,0.8083333333333333
719,838,0.7583333333333333
839,958,0.8416666666666667
919,1038,0.9416666666666667
1119,1238,0.5833333333333334
1159,1278,0.725
1199,1318,0.6833333333333333
1239,1358,0.7083333333333334
1559,1678,0.6583333333333333
1599,1718,0.7333333333333333
1639,1758,0.8
1719,1838,0.6916666666666667
2119,2238,0.8166666666666667
2159,2278,0.825
2319,2438,0.725
2479,2586,0.6203703703703703
2519,2626,0.7314814814814815
2707,2823,0.8803418803418803
2744,2863,0.7666666666666667
2904,3023,0.7
2944,3063,0.7583333333333333
3095,3211,0.8205128205128205
3372,3491,0.7833333333333333
3492,3608,0.8632478632478633
3809,3898,0.8333333333333334
4055,4174,0.55
4095,4214,0.575
4135,4254,0.7333333333333333
4175,4294,0.8416666666666667
4215,4334,0.7416666666666667
4295,4414,0.6916666666666667
4415,4534,0.6333333333333333
4535,4654,0.5
4575,4694,0.6083333333333333
4815,4931,0.7521367521367521
4932,5051,0.775
4972,5091,0.875
5012,5131,0.8666666666666667
5052,5171,0.7083333333333334
5092,5211,0.7416666666666667
5212,5331,0.675
5252,5371,0.5916666666666667
5292,5411,0.6166666666666667
5332,5451,0.8916666666666667
5452,5571,0.85
5652,5771,0.7416666666666667
5692,5811,0.6333333333333333
5732,5851,0.925
6012,6131,0.6416666666666667
6092,6211,0.8333333333333334
6132,6251,0.7833333333333333
6212,6331,0.9
6252,6371,0.8
6412,6531,0.8
6452,6571,0.8083333333333333
6612,6731,0.7666666666666667
6972,7091,0.8333333333333334
7012,7131,0.8166666666666667
7052,7171,0.675
7132,7251,0.6583333333333333
7172,7291,0.5833333333333334
7452,7571,0.7333333333333333
7772,7891,0.7333333333333333
8092,8211,0.7166666666666667
8132,8251,0.8
8292,8411,0.6166666666666667
8691,8810,0.725
8811,8930,0.7916666666666666
8851,8970,0.725
9211,9330,0.5916666666666667
9251,9370,0.6666666666666666
9371,9490,0.6666666666666666
9411,9530,0.8333333333333334
9611,9730,0.49166666666666664
10131,10250,0.6666666666666666
10371,10490,0.7083333333333334
10411,10530,0.7333333333333333
10451,10570,0.625
10851,10970,0.8333333333333334
10931,11050,0.8166666666666667
10971,11090,0.55
11011,11130,0.6
11051,11170,0.5833333333333334
11091,11210,0.5583333333333333
11211,11330,0.825
11651,11770,0.7166666666666667
11691,11810,0.675
11731,11850,0.725
11771,11890,0.725
12171,12290,0.6416666666666667
12371,12490,0.925
12571,12690,0.85
12611,12730,0.8583333333333333
12691,12810,0.6666666666666666
12891,13010,0.7416666666666667
13330,13449,0.5166666666666667
13370,13488,0.6974789915966386
13410,13528,0.6890756302521008
13647,13766,0.6416666666666667
13687,13806,0.6916666666666667
13807,13926,0.9083333333333333
13887,14006,0.7916666666666666
13927,14046,0.875
