first,last,identity
1,120,0.8
41,158,0.8135593220338984
81,198,0.7288135593220338
121,238,0.6440677966101694
159,278,0.9083333333333333
319,438,0.48333333333333334
399,518,0.7833333333333333
639,758,0.55
719,838,0.7083333333333334
839,958,0.9
919,1038,0.8416666666666667
1119,1238,0.49166666666666664
1159,1278,0.675
1199,1318,0.5583333333333333
1239,1358,0.275
1559,1678,0.7166666666666667
1599,1718,0.4166666666666667
1639,1758,0.425
1719,1838,0.6333333333333333
2119,2238,0.9333333333333333
2159,2278,0.7166666666666667
2319,2438,0.6083333333333333
2479,2586,0.6851851851851852
2519,2626,0.5555555555555556
2707,2823,0.6923076923076923
2744,2863,0.35
2904,3023,0.3333333333333333
2944,3063,0.475
3095,3211,0.7094017094017094
3372,3491,0.6333333333333333
3492,3608,0.8461538461538461
3809,3898,0.8222222222222222
4055,4174,0.4583333333333333
4095,4214,0.5
4135,4254,0.7583333333333333
4175,4294,0.6333333333333333
4215,4334,0.5333333333333333
4295,4414,0.575
4415,4534,0.18333333333333332
4535,4654,0.2916666666666667
4575,4694,0.5
4815,4931,0.6495726495726496
4932,5051,0.675
4972,5091,0.8166666666666667
5012,5131,0.7916666666666666
5052,5171,0.55
5092,5211,0.7333333333333333
5212,5331,0.6583333333333333
5252,5371,0.5333333333333333
5292,5411,0.5083333333333333
5332,5451,0.9083333333333333
5452,5571,0.9666666666666667
5652,5771,0.675
5692,5811,0.6583333333333333
5732,5851,0.825
6012,6131,0.7416666666666667
6092,6211,0.5333333333333333
6132,6251,0.625
6212,6331,0.75
6252,6371,0.6916666666666667
6412,6531,0.65
6452,6571,0.6916666666666667
6612,6731,0.65
6972,7091,0.7
7012,7131,0.7916666666666666
7052,7171,0.5
7132,7251,0.6416666666666667
7172,7291,0.5166666666666667
7452,7571,0.5416666666666666
7772,7891,0.6333333333333333
8092,8211,0.5833333333333334
8132,8251,0.5583333333333333
8292,8411,0.675
8691,8810,0.6
8811,8930,0.9666666666666667
8851,8970,0.5833333333333334
9211,9330,0.7416666666666667
9251,9370,0.625
9371,9490,0.2916666666666667
9411,9530,0.8083333333333333
9611,9730,0.8583333333333333
10131,10250,0.7
10371,10490,0.525
10411,10530,0.575
10451,10570,0.8916666666666667
10851,10970,0.95
10931,11050,0.7583333333333333
10971,11090,0.5666666666666667
11011,11130,0.4666666666666667
11051,11170,0.4666666666666667
11091,11210,0.575
11211,11330,0.7583333333333333
11651,11770,0.36666666666666664
11691,11810,0.4166666666666667
11731,11850,0.8
11771,11890,0.7083333333333334
12171,12290,0.45
12371,12490,0.8583333333333333
12571,12690,0.39166666666666666
12611,12730,0.6333333333333333
12691,12810,0.2833333333333333
12891,13010,0.8666666666666667
13330,13449,0.48333333333333334
13370,13488,0.6638655462184874
13410,13528,0.4369747899159664
13647,13766,0.575
13687,13806,0.7583333333333333
13807,13926,0.9583333333333334
13887,14006,0.5083333333333333
13927,14046,0.6583333333333333
14007,14126,0.5
14047,14166,0.8
14087,14206,0.6916666666666667
14127,14246,0.3333333333333333
14207,14326,0.825
14367,14486,0.85
14447,14566,0.5333333333333333
14527,14646,0.8333333333333334
14687,14806,0.6
14727,14846,0.8
14767,14886,0.5666666666666667
14847,14966,0.55
14887,15006,0.49166666666666664
14967,15086,0.65
15007,15126,0.5166666666666667
15607,15725,0.36134453781512604
15646,15765,0.5333333333333333
16446,16565,0.7916666666666666
16486,16605,0.7166666666666667
16766,16885,0.6083333333333333
17086,17205,0.6666666666666666
17126,17245,0.9166666666666666
17166,17285,0.4083333333333333
17206,17325,0.575
17326,17445,0.7083333333333334
17366,17485,0.7833333333333333
17446,17565,0.65
17526,17645,0.825
17766,17885,0.5333333333333333
17846,17965,0.825
17966,18085,0.65
18646,18765,0.5
18686,18805,0.375
18806,18925,0.43333333333333335
18846,18965,0.30833333333333335
18926,19045,0.8666666666666667
19046,19165,0.7416666666666667
19166,19285,0.48333333333333334
19206,19325,0.49166666666666664
19366,19485,0.6583333333333333
19406,19525,0.7166666666666667
19446,19565,0.6416666666666667
19646,19765,0.475
19766,19885,0.7416666666666667
19926,20045,0.5333333333333333
19966,20085,0.95
20206,20325,0.3416666666666667
20286,20405,0.7833333333333333
20446,20565,0.85
20486,20605,0.35833333333333334
20806,20925,0.7333333333333333
20846,20965,0.6666666666666666
21006,21125,0.9833333333333333
21126,21245,0.9166666666666666
21326,21445,0.6
21366,21485,0.8083333333333333
21406,21525,0.475
21446,21565,0.4166666666666667
22102,22219,0.6949152542372882
22140,22259,0.6833333333333333
22698,22817,0.8083333333333333
22738,22857,0.44166666666666665
22778,22897,0.8333333333333334
23098,23217,0.6583333333333333
23298,23417,0.7166666666666667
23338,23457,0.6166666666666667
23498,23617,0.5916666666666667
23538,23657,0.5833333333333334
23578,23697,0.475
23698,23817,0.875
23978,24097,0.9333333333333333
24257,24376,0.5
25017,25136,0.6666666666666666
25137,25256,0.6333333333333333
25177,25296,0.7666666666666667
25217,25336,0.95
25337,25455,0.5882352941176471
25456,25575,0.9166666666666666
25496,25615,0.7666666666666667
25536,25655,0.5916666666666667
25576,25695,0.4166666666666667
25656,25775,0.6833333333333333
25816,25935,0.9
25856,25975,0.8833333333333333
25896,26015,0.6833333333333333
25936,26055,0.7833333333333333
26016,26135,0.8916666666666667
26096,26215,0.6583333333333333
26136,26255,0.85
26176,26295,0.39166666666666666
26216,26335,0.7583333333333333
26256,26375,0.39166666666666666
26376,26491,0.75
26416,26528,0.4690265486725664
26453,26568,0.603448275862069
26492,26608,0.8034188034188035
26529,26648,0.775
26569,26688,0.4583333333333333
26609,26728,0.625
26729,26848,0.8166666666666667
27249,27368,0.8833333333333333
27402,27521,0.65
27442,27561,0.5
27522,27641,0.8166666666666667
28759,28878,0.7333333333333333
28839,28958,0.6916666666666667
28959,29078,0.6583333333333333
28999,29118,0.8583333333333333
29039,29158,0.7083333333333334
29079,29198,0.7333333333333333
29119,29238,0.6166666666666667
29239,29358,0.65
29279,29398,0.7833333333333333
29319,29438,0.6
29399,29512,0.7982456140350878
29513,29630,0.8305084745762712
29551,29670,0.7666666666666667
29591,29710,0.4
