first,last,unpaired-recovery
1,120,0.78125
41,158,0.7777777777777778
81,198,0.6590909090909091
121,238,0.6304347826086957
159,278,0.7954545454545454
319,438,0.6666666666666666
399,518,0.875
639,758,0.875
719,838,0.8333333333333333
839,958,0.8214285714285715
919,1038,0.9137931034482758
1119,1238,0.4791666666666667
1159,1278,0.5800000000000001
1199,1318,0.6071428571428571
1239,1358,0.6896551724137931
1559,1678,0.82
1599,1718,0.8148148148148149
1639,1758,0.8809523809523809
1719,1838,0.65
2119,2238,0.8333333333333334
2159,2278,0.78
2319,2438,0.7291666666666666
2479,2586,0.6666666666666666
2519,2626,0.7826086956521738
2707,2823,0.9777777777777777
2744,2863,0.7499999999999999
2904,3023,0.7000000000000001
2944,3063,0.7142857142857143
3095,3211,0.8571428571428571
3372,3491,0.7200000000000001
3492,3608,0.7735849056603774
3809,3898,0.8888888888888888
4055,4174,0.5192307692307693
4095,4214,0.5476190476190477
4135,4254,0.7307692307692307
4175,4294,0.8703703703703703
4215,4334,0.7321428571428571
4295,4414,0.7499999999999999
4415,4534,0.39999999999999997
4535,4654,0.5
4575,4694,0.6190476190476191
4815,4931,0.8727272727272727
4932,5051,0.75
4972,5091,0.825
5012,5131,0.7272727272727272
5052,5171,0.5416666666666666
5092,5211,0.6956521739130436
5212,5331,0.92
5252,5371,0.7083333333333333
5292,5411,0.7000000000000001
5332,5451,0.9565217391304348
5452,5571,0.84
5652,5771,0.9117647058823529
5692,5811,0.775
5732,5851,0.9347826086956521
6012,6131,0.8793103448275862
6092,6211,0.9782608695652173
6132,6251,0.825
6212,6331,0.8928571428571429
6252,6371,0.8913043478260869
6412,6531,0.8181818181818181
6452,6571,0.8870967741935485
6612,6731,0.875
6972,7091,1.0
7012,7131,0.8846153846153847
7052,7171,0.8181818181818182
7132,7251,0.8269230769230769
7172,7291,0.68
7452,7571,0.9318181818181818
7772,7891,0.7692307692307692
8092,8211,0.75
8132,8251,0.8409090909090908
8292,8411,0.9047619047619048
8691,8810,0.8409090909090908
8811,8930,0.94
8851,8970,0.8846153846153847
9211,9330,0.6190476190476191
9251,9370,0.56
9371,9490,0.6000000000000001
9411,9530,0.8260869565217391
9611,9730,1.0
10131,10250,0.88
10371,10490,0.76
10411,10530,0.8695652173913043
10451,10570,0.8541666666666666
10851,10970,1.0
10931,11050,0.8809523809523809
10971,11090,0.6818181818181818
11011,11130,0.828125
11051,11170,0.8846153846153847
11091,11210,0.7258064516129034
11211,11330,0.7499999999999999
11651,11770,0.84375
11691,11810,0.82
11731,11850,0.888888888888889
